timestamp,cnt,t1,tF,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season
2015-01-04 14:00:00,1039,2.5,36.5,0.0,90.0,8.0,3.0,0.0,1.0,3.0
2015-01-04 15:00:00,869,2.0,35.6,-1.5,93.0,11.0,3.0,0.0,1.0,3.0
2015-01-04 20:00:00,328,3.0,37.4,3.0,93.0,4.0,3.0,0.0,1.0,3.0
2015-01-05 12:00:00,762,10.0,50.0,8.0,85.0,11.0,3.0,0.0,0.0,3.0
2015-01-05 19:00:00,1274,9.0,48.2,6.5,71.0,14.0,3.0,0.0,0.0,3.0
2015-01-05 22:00:00,324,9.0,48.2,7.5,71.0,10.0,4.0,0.0,0.0,3.0
2015-01-06 04:00:00,40,8.5,47.3,6.5,73.5,11.0,4.0,0.0,0.0,3.0
2015-01-06 07:00:00,1715,9.0,48.2,7.0,82.0,13.0,3.0,0.0,0.0,3.0
2015-01-06 19:00:00,1402,6.0,42.8,3.0,76.0,15.0,1.0,0.0,0.0,3.0
2015-01-06 21:00:00,494,5.0,41.0,2.0,81.0,15.0,1.0,0.0,0.0,3.0
2015-01-07 15:00:00,794,9.0,48.2,6.0,68.5,25.0,2.0,0.0,0.0,3.0
2015-01-08 05:00:00,87,12.0,53.6,12.0,80.0,20.5,7.0,0.0,0.0,3.0
2015-01-11 07:00:00,93,5.0,41.0,1.0,66.0,24.0,1.0,0.0,1.0,3.0
2015-01-11 23:00:00,168,9.0,48.2,5.0,71.0,30.5,3.0,0.0,1.0,3.0
2015-01-12 15:00:00,374,12.0,53.6,12.0,82.0,25.0,7.0,0.0,0.0,3.0
2015-01-13 07:00:00,1584,9.5,49.1,6.5,79.0,21.0,7.0,0.0,0.0,3.0
2015-01-13 22:00:00,501,5.0,41.0,2.0,76.0,17.0,1.0,0.0,0.0,3.0
2015-01-14 03:00:00,54,4.5,40.1,0.5,72.5,21.0,1.0,0.0,0.0,3.0
2015-01-15 14:00:00,828,9.0,48.2,5.0,60.0,30.5,2.0,0.0,0.0,3.0
2015-01-16 09:00:00,1980,6.0,42.8,3.0,71.0,13.0,2.0,0.0,0.0,3.0
2015-01-17 12:00:00,1360,6.5,43.7,3.5,73.5,17.0,2.0,0.0,1.0,3.0
2015-01-17 13:00:00,1421,6.0,42.8,2.5,73.5,20.5,2.0,0.0,1.0,3.0
2015-01-17 16:00:00,1257,6.0,42.8,3.0,71.0,15.0,1.0,0.0,1.0,3.0
2015-01-17 22:00:00,328,5.0,41.0,3.0,76.0,7.0,2.0,0.0,1.0,3.0
2015-01-18 02:00:00,268,5.0,41.0,3.0,81.0,8.0,7.0,0.0,1.0,3.0
2015-01-21 19:00:00,1359,3.0,37.4,0.0,87.0,13.0,7.0,0.0,0.0,3.0
2015-01-23 23:00:00,299,8.0,46.4,4.0,87.0,24.0,7.0,0.0,0.0,3.0
2015-01-24 14:00:00,1796,7.0,44.6,4.0,61.0,20.0,2.0,0.0,1.0,3.0
2015-01-24 20:00:00,526,4.5,40.1,1.5,70.0,13.0,1.0,0.0,1.0,3.0
2015-01-25 02:00:00,216,2.0,35.6,-1.0,81.0,10.0,1.0,0.0,1.0,3.0
2015-01-25 06:00:00,83,2.0,35.6,-2.0,87.0,13.0,1.0,0.0,1.0,3.0
2015-01-25 08:00:00,226,3.0,37.4,-0.5,81.0,15.0,1.0,0.0,1.0,3.0
2015-01-25 18:00:00,810,8.0,46.4,5.0,73.5,19.5,3.0,0.0,1.0,3.0
2015-01-27 02:00:00,30,5.0,41.0,2.0,76.0,14.0,1.0,0.0,0.0,3.0
2015-01-28 01:00:00,78,7.0,44.6,3.0,76.0,23.0,3.0,0.0,0.0,3.0
2015-01-29 03:00:00,38,3.0,37.4,-2.5,75.0,29.5,2.0,0.0,0.0,3.0
2015-01-29 09:00:00,1905,4.5,40.1,-0.5,72.5,26.0,2.0,0.0,0.0,3.0
2015-01-29 19:00:00,1237,3.0,37.4,-2.0,75.0,26.0,2.0,0.0,0.0,3.0
